CardID,Titulo,Coluna,Prioridade,Responsavel,SemanaAlvo,Dependências,Observacao
1,Definir recursos da v1.0.0,A Fazer Agora,Alta,Product Owner,Semana 1,,Fechar escopo entra ou nao entra
4,Atualizar politica de privacidade,A Fazer Agora,Alta,Dev,Semana 1,1,Corrigir Application ID e anuncios
5,Publicar politica em URL estavel,Bloqueado,Alta,Dev,Semana 1,4,Falta URL final publica
6,Atualizar tela Sobre,A Fazer Agora,Alta,Dev,Semana 1,4,Migrar textos para i18n e alinhar recursos
7,Atualizar tela Ajuda,A Fazer Agora,Alta,Dev,Semana 1,4,Revisar topicos com recursos atuais
9,Criar ou validar conta AdMob,A Fazer Agora,Alta,Product Owner,Semana 1,,Necessario para IDs de producao
10,Cadastrar app no AdMob,A Fazer Agora,Alta,Product Owner,Semana 1,9,Pacote Android correto
11,Criar unidades de anuncio,Bloqueado,Alta,Product Owner,Semana 1,10,Definir banner intersticial rewarded
12,Trocar IDs de teste por producao,Bloqueado,Alta,Dev,Semana 2,11,Depende dos IDs reais
14,Criar keystore de upload,Bloqueado,Alta,Dev,Semana 2,,Confirmar status da keystore
15,Configurar key.properties,A Fazer Agora,Alta,Dev,Semana 2,14,Validar assinatura de release
16,Atualizar versionamento,Revisao ou Validacao,Media,Dev,Semana 2,15,Preparar versao para AAB
17,Gerar AAB release,Revisao ou Validacao,Alta,Dev,Semana 2,16,Build appbundle release
18,Teste funcional em dispositivo fisico,Revisao ou Validacao,Alta,QA,Semana 2,17,Rodar checklist critico
19,Criar feature graphic,Backlog,Media,Designer,Semana 2,1,Arte 1024x500
20,Criar screenshots da loja,Backlog,Alta,Designer,Semana 2,1,Ideal 8 screenshots
21,Fechar textos da loja,Backlog,Alta,Product Owner,Semana 2,4,Descricao curta e longa final
22,Criar app no Play Console,Backlog,Alta,Product Owner,Semana 3,2,Configurar app e categoria
23,Preencher ficha da loja,Revisao ou Validacao,Alta,Product Owner,Semana 3,20,Subir textos e midia
24,Responder IARC,Backlog,Alta,Product Owner,Semana 3,22,Classificacao etaria
25,Preencher Data Safety,Bloqueado,Alta,Product Owner,Semana 3,4,Depende de politica final
26,Declarar anuncios,Revisao ou Validacao,Alta,Product Owner,Semana 3,12,Conferir consistencia
27,Criar faixa de teste interno,Revisao ou Validacao,Alta,Dev,Semana 3,23,Link para testadores
28,Executar rodada de testes internos,Revisao ou Validacao,Alta,QA,Semana 4,27,Coletar evidencias
29,Corrigir bloqueadores e reenviar,Revisao ou Validacao,Alta,Dev,Semana 4,28,Subir nova build candidata
30,Enviar para revisao de producao,Revisao ou Validacao,Alta,Product Owner,Semana 4,29,Submissao final
31,Monitorar pos-publicacao 7 dias,Backlog,Media,Product Owner,Semana 5,30,Relatorio de lancamento
